,lemmas,real phrases,generated phrases
0,"niño, escribir, ventana, con, dedo",El niño escribe en la ventana con el dedo.,El niño escribe la ventana con el dedo
1,"lobo, teñir, harina, su, patas",El lobo tiñó con harina sus patas.,El lobo teñra la harina con sus patas
2,"pata, ser, negro, peludo",La pata es negra y peluda.,La pata es negra y peluda
3,"gato, comer, ratatita",El gato come a la ratita.,El gato come ratita
4,"Laura, Malena, ser, gemelo",Laura y Malena son gemelas.,Laura y Malena son gemelas
5,"ser, ver, te, bien",Son para verte bien.,ser ver bien
6,"niña, comprar, ropa, en, tienda, de, ropa",La niña compra ropa en la tienda de ropa.,La niña compra ropa en la tienda de ropa
7,"gallina, poner, huevod, de, oro",La gallina puso huevos de oro.,La gallina pone el huévod de oro
8,"chica, nadar, piscina, cubierta",La chica nada en la piscina cubierta.,La chica nadó en la piscina cubierta
9,"me, gustar, pandereta",Me gusta la pandereta.,Me gusta la pandereta
10,"mamá, cabra, tener, siete, cabritillos",Mamá cabra tiene siete cabritillos.,Mamá tiene siete cabritillos
11,"Nora, ser, moreno",Nora es morena.,Nora es moreno
12,"lobo, ir, molino",El lobo va al molino.,El lobo va al molino
13,"me, gustar, churros, relleno",Me gustan los churros rellenos.,Me gustaban los churros relleno
14,"yo, dormir, noche",Yo duermo por la noche.,Yo duermo por la noche
15,"ese, señor, ir, pasear, a, pinar",Ese señor va a pasear al pinar.,Ese señor va pasear a pinar
16,"yo, dormir, en, cama",Yo duermo en la cama.,Yo duermo en la cama
17,"siete, cabritillos, jugar, contento",Los siete cabritillos juegan contentos.,Los cabritillos juegan con contento
18,"arpa, producir, diamantes",El arpa produjo diamantes.,La arpa produce diamantes
19,"niña, aplaudir, con, manos",La niña aplaude con las manos.,La niña aplaudió con las manos
20,"cerdito, correr, rápido",El cerdito corre rápido.,El cerro corrió rápido
21,"lobo, querer, comer, lo",El lobo quiere comerlos.,lobo quiere comer lo
22,"niños, jugar, parque",Los niños juegan en el parque.,Los niños juegan en el parque
23,"Luis, estar, un, poco, loco",Luis está un poco loco.,Luis está un poco loco
24,"ver, un, topo, en, otoño",Vi un topo en otoño.,El topo ve un topo en otoño
25,"chica, merendar, bocadillo, chorizo, leche",La chica merienda bocadillo de chorizo y leche.,La chica merenda un bocadillo de chorizo con leche
26,"Rosa, ser, rubio",Rosa es rubia.,Rosa es rubio
27,"niña, estar, sentado, en, roca",La niña está sentada en la roca.,La niña está sentada en la roca
28,"ruiseñor, cantar, en, rama",El ruiseñor canta en la rama.,El ruiseñor canta en la rama
29,"niños, jugar, corro",Los niños juegan al corro.,Los niños juegan con la corroja
30,"chicos, acabar, borrico",Los chicos acabaron borricos.,Los chicos acabarán el borrico
31,"mamá, leer, niña",Mamá lee con la niña.,mamá lee a la niña
32,"todo, niños, se, asustar",Todos los niños se asustaron.,Todos los niños se asustaron
33,"Pili, haber, meter, un, gol",Pili ha metido un gol.,Pili metió un gol
34,"niño, le, dar, un, regalo, a, su, padre",El niño le da un regalo a su padre.,El niño le da un regalo a su padre
35,"yo, querer, ir, baño",Yo quiero ir al baño.,Yo quiero ir al baño
36,"cerditos, correr, rápido",Los cerditos corren rápido.,Los cerditos corren rápido
37,"querer, comer, melón, limón",Quiero comer melón y limón.,Quieres comer melón y limón
38,"pájaro, nadar, mar",El pájaro nada por el mar.,pájaro nadar en el mar
39,"caracol, subir, árbol",El caracol sube al árbol.,El caracol sube al árbol
40,"bebé, jugar, parquet",El bebé juega en el parquet.,El bebé juega en el parquet
41,"quién, ser, más, guapo, ?",¿quién es la más guapa?,¿Serás más guapo?
42,"niña, beber, con, pajita",La niña bebe con la pajita.,La niña bebe con pajita
43,"mayor, hacer, casa, piedra",El mayor hace una casa de piedra.,El mayor hace una casa de piedra
44,"pescador, estar, mar",El pescador está en el mar.,El pescador está en el mar
45,"Marcelina, salir, buscar, los",Marcelina sale a buscarlos.,Marcelina sale a buscar los
46,"mamá, hacer, puré, con, batidora",Mamá hace puré con la batidora.,mamá hace puré con batidora
47,"mamá, pato, pasear, su, hijos",Mamá pato paseaba con sus hijos.,Mamá hace pasear a sus hijos
