lemmas,real phrases,generated phrases
"milkmaid, be, a, cheerful, girl",The milkmaid was a cheerful and dreamy girl.,A cheerful milkmaid is a girl.
"wolf, eat, Little Red Riding Hood",The wolf wants to eat Little Red Riding Hood.,The wolf eats Little Red Riding Hood.
"girl, sit, a, red, armchair",The girl is sitting in a red armchair.,A girl sits on a red armchair.
"cats, sleep, trees",Cats sleep under the trees.,Cats sleep in the trees.
"girl, play, stones",The girl plays with the stones.,The girl plays with the stones.
"granny, what, big, ears, you, have",Granny what big ears you have.,"Granny, what big ears you have!"
"bathe, sink",I bathe in the sink.,Bathe in the sink.
"child, read, Pinocho, story",The child reads the Pinocho story.,A child is reading a story about Pinocho.
"hunter, frighten, wolf",The hunter frightened the wolf.,The hunter frightens the wolf.
"child, ride, pig",The child rides on the pig.,The child rides on the pig.
"fix, pipe, with, tongs",I fixed the pipe with the tongs.,"I fix the pipe with the tongs."
"fisherman, be, sea",The fisherman is in the sea.,The fisherman is in the sea.
"ball, be, a, ball",The ball is like a ball.,A ball is a ball.
"child, play, boat",The child plays with the boat.,The child plays with the boat.
"ogre, leave",The ogre left., The ogre leaves the forest.
"Juan, live, his, mother",Juan lived with his mother.,"Juan lives with his mother."
"write, a, letter, for, Three Wise Men",I write a letter for the Three Wise Men., I write a letter for the Three Wise Men.
"suitcase, be, living, room",The suitcase is in the living room., I am living in the room with the suitcase.
"bees, fly, pink, flower",Bees fly around the pink flower.,The bees fly around the pink flower.
"girl, have, chorizo sandwich, milk",The girl has chorizo sandwich and milk.,The girl has a chorizo sandwich and a glass of milk.
"train, go, sea",The train goes by the sea.,"The train goes along the sea."
"child, play, shovel, bucket",The child plays with the shovel and the bucket.,Child plays with the shovel and the bucket.
"painter, paint, tablecloth",The painter paints on the tablecloth.,The painter paints the tablecloth.
"boys, end, up, being, donkeys",The boys ended up being donkeys.,Boys end up being donkeys.
"Marcelina, prepare, nativity, scene, in, her, house",Marcelina is setting up the nativity scene in her house.,Marcelina is preparing the nativity scene in her house.
"he, throw, them, out, window",He threw them out the window.,He threw them out of the window.
"boy, listen, cow",The boy listens to the cow.,The boy is listening to the cow.
"it, be, to, eat, you",It is to eat you.,It is to eat you.
"Eskimo, live, a, cabin",The Eskimo lives in a cabin.,Eskimos live in a cabin.
"children, play, constructions",Children play with constructions.,Children play with constructions.
"child, look, butterfly, with, magnifying glass",The child looks at the butterfly with the magnifying glass.,A child looks at the butterfly with the magnifying glass.
"they, be, to, hear, you, well",They are to hear you well.,They are going to hear you well.
"little, goat, hide, bed",The little goat hid under the bed.,A little goat hides in the bed.
"Pili, score, a, goal",Pili has scored a goal.,Pili scores a goal.
"María, go, butcher, shop",María goes to the butcher shop.,María goes to the butcher's shop.
"fish, swim, sea",The fish swims in the sea.,The fish swims in the sea.
"penguins, skate, snow, with, hats, scarves",The penguins skate in the snow with hats and scarves.,Penguins skate in the snow with hats and scarves.
"snail, become, sad",The snail became sad.,The snail becomes sad because of the rain.
"fork, be, dining, room",The fork is in the dining room.,I am in the dining room.
"ogre, fall",The ogre fell.,The ogre falls down.
