,lemmas,real phrases,generated phrases
0,"wolf, eat, them",The wolf wants to eat them.,The wolf ate them.
1,"children, go, school, by, plane",Children go to school by plane.,Children go to school by plane.
2,"baby, walk, car",The baby walks in the car.,The baby walks in the car.
3,"Juan, find, a, castle",Juan found a castle.,Juan found a castle.
4,"dog, walk, collar",The dog walks with the collar.,The dog walks with its collar.
5,"want, to, go, bathroom",I want to go to the bathroom.,I want to go to the bathroom.
6,"cow, want, to, study, school",The cow wanted to study at school.,The cow wants to study at school.
7,"book, case, be, bag",The book and the case are in the bag.,The book is in the case.
8,"little, goat, be, clock",The little goat is in the clock.,The little goat was in the clock.
9,"parrot, look, snail",The parrot looks at the snail.,The parrot looks at the snail.
10,"kids, be, happy",The kids were happy.,The kids are happy.
11,"girl, listen, music",The girl listens to music.,The girl listens to music.
12,"bird, swim, sea",The bird swims in the sea.,The bird swims in the sea.
13,"pig, live, farm",The pig lives on the farm.,The pig lives on the farm.
14,"girls, run, kite",Girls run with the kite.,The girls run with the kite.
15,"ilkworm, fall, love, with, her",The silkworm fell in love with her.,The silkworm fell in love with her.
16,"mom, duck, walk, her, children",Mom Duck walked with her children.,Mom duck walks with her children.
17,"girl, speak, phone",The girl speaks on the phone.,The girl speaks on the phone.
18,t,I want to eat.,I eat with a fork.
19,"wolf, knock, door",The wolf knocks on the door.,The wolf knocked on the door.
20,"that, king, be, Russia",That king is from Russia.,That king was of Russia.
21,"dad, buy, supermarket",Dad buys at the supermarket.,Dad buys in the supermarket.
22,"traw, house, break",The straw house breaks.,The straw house broke.
23,"dolphins, turtle, swim, sea",Dolphins and turtle swim in the sea.,Dolphins swim in the sea.
24,"train, be, road",The train is on the road.,The train will be on the road.
25,"wolf, arrive, first",The wolf arrived first.,The wolf arrived first.
26,"boy, go, bakery",Boy goes to the bakery.,The boy went to the bakery.
27,"girl, swing, swing",The girl swings on the swing.,The girl swings on the swing.
28,"mayor, want, to, pay, flutist, not",The mayor did not want to pay the flutist.,The mayor wants to pay the flutist not.
29,"children, play, boat, train",Children play with the boat and the train.,Children play with a boat and a train.
30,"bird, fly, sky",The bird flies through the sky.,The bird flies in the sky.
31,"grandma, be, closet",Grandma is in the closet.,Grandma was in the closet.
32,"t, melon, lemon",I want to eat melon and lemon.,I eat melon and lemon.
33,"Dorita, live, a, farm, with, her, uncles",Dorita lived on a farm with her uncles and her little dog Totó.,Dorita lives on a farm with her uncles.
34,"dragonfly, fly, lake",The dragonfly flies in the lake.,The dragonfly flew over the lake.
35,"wolf, sleep",The wolf slept.,The wolf sleeps.
36,"girl, play, sheets",The girl plays with the sheets.,The girl plays on the sheets.
37,"children, play, pool",Children play in the pool.,Children play in the pool.
38,"kids, recognize, dark, skin, of, wolf",The kids recognized the dark skin of the wolf.,Kids recognize the dark skin of the wolf.
39,"donkey, fall, mud",The donkey fell into the mud.,The donkey fell in the mud.
40,"woman, pick, peaches, from, tree",The woman picks peaches from the tree with her basket.,The woman picked peaches from the tree.
41,"want, to, play, fire",I want to play with fire.,I want to play with fire.
42,"woodcutter, catch, a, boar",The woodcutter caught a boar.,The woodcutter caught a boar.
43,"girl, drink, a, milkshake, with, two, straws",The girl drinks a chocolate milkshake with two straws.,The girl drinks a milkshake with two straws.
44,"Juan, go, up, by, plant",Juan went up by the plant.,Juan goes up by the plant.
45,"boy, walk, street",The boy walks on the street.,The boy walks down the street.
46,"Little Red Riding Hood, get, busy",Little Red Riding Hood got busy picking flowers for Granny.,Little Red Riding Hood gets busy.
47,"children, play, corro",The children play at the corro.,Children play with the corro.
48,"two, cars, collide, street",Two cars collide on the street.,Two cars collide in the street.
49,"cock, sing, night",The cock sings at night.,The cock sings at night.
50,"frog, climb, branch",The frog climbed the branch.,The frog climbs on the branch.
51,"mom, read, girl",Mom reads with the girl.,Mom reads with the girl.
52,"Lolo, play, ball",Lolo plays with the ball.,Lolo plays with the ball.
53,"Enrique, give, me, a, bouquet, of, roses",Enrique gave me a bouquet of roses.,Enrique gives me a bouquet of roses.
54,"child, swim, pool",The child swims in the pool.,The child swims in the pool.
55,"n, old, lady, give, them, a, magic, eraser",An old lady gave them a magic eraser.,An old lady gives them a magic eraser.
56,"change, it, not",I will not change it.,I want to change it.
57,"that, gentleman, walk, pine, forest",That gentleman is going to walk along the pine forest.,That gentleman walks through the pine forest.
58,"Oscar, be, bar",Oscar is at the bar.,Oscar will be at the bar.
59,"mom, mash, blender",Mom mashes with the blender.,Mom mashed the fruit in the blender.
60,"Juan, cut, plant",Juan cut the plant.,Juan cut the plant.
61,"Earth, be, round",The Earth is round.,The Earth is round.
62,", a, mole, in, autumn",I saw a mole in autumn.,I see a mole in autumn.
63,"baby, play, parquet",The baby plays in the parquet.,Baby plays on the parquet.
64,"go, to, Moon",I want to go to the Moon.,I go to the Moon.
65,"Santa, go, sleigh, with, reindeers",Santa goes in sleigh with reindeers.,Santa goes in the sleigh with reindeers.
66,"dog, have, puppies",The dog had puppies.,The dog has puppies.
67,"kids, play, park",The kids play in the park.,Kids play in the park.
68,"girl, carry, an, umbrella",The girl is carrying an umbrella.,The girl carries an umbrella.
69,"boy, climb, rocks",The boy climbs on the rocks.,The boy climbs on the rocks.
70,"leep, bed",I sleep in the bed.,I want to sleep on the bed.
71,"girl, drink, glass",The girl drinks in the glass.,The girl drinks with the glass.
72,"boy, float, churro",The boy floats with the churro.,The boy floats on a churro.
73,"girl, swim, indoor, pool",The girl swims in the indoor pool.,The girl swims in the indoor pool.
74,"Snow White, run, forest",Snow White runs to the forest.,Snow White runs in the forest.
75,"dad, read, a, story, to, girl",Dad reads a story to the girl in bed.,Dad read a story to the girl.
76,"pee, toilet",I pee on the toilet.,I pee in the toilet.
77,"n, lay, golden, eggs",The hen laid golden eggs.,The hen lays golden eggs.
78,"girl, clap, her, feet",The girl claps with her feet.,The girl claps her feet.
79,"Three Wise Men, go, a, camel",The Three Wise Men go on a camel.,The Three Wise Men go on a camel.
80,"where, you, go, Little Red Riding Hood, ?",Where are you going Little Red Riding Hood?,"Where will you go, Little Red Riding Hood?"
81,"wolf, lick, thinking, about, kids",The wolf licked thinking about the kids.,The wolf licks while thinking about kids.
82,"wolf, lie, bed",The wolf lies on the bed.,The wolf lies in bed.
83,"Goldilocks, sleep, small, bed",Goldilocks sleeps in the small bed.,Goldilocks slept in the small bed.
84,"lizard, be, washing, machine",The lizard is in the washing machine.,The lizard is going to wash with the washing machine.
85,"girl, write, sand",The girl writes on the sand.,The girl writes with sand.
86,"plane, fly, clouds",The plane flies over the clouds.,The plane flies in the clouds.
87,"tepmother, let, Cinderella, go, party, not",The stepmother does not let Cinderella go to the party.,Stepmother let Cinderella go to the party.
88,"child, go, slide",The child goes down the slide.,The child goes on the slide.
89,"d, plane, fly, clouds",The red plane flies up the clouds.,The red plane flies in the clouds.
90,"they, have, an, old, cow",They had an old cow.,They have an old cow.
91,"only, cow, study",Only the cow studied.,Only the cow study.
92,"we, see, little, donkey, on, Palm Sunday",On Palm Sunday we will see the little donkey.,We see the little donkey on Palm Sunday.
93,"Juan, change, cow, for, magic, beans",Juan changed the cow for magic beans.,Juan changed the cow for magic beans.
94,"Goldilocks, sleep, bed",Goldilocks sleeps in bed.,Goldilocks sleeps on the bed.
95,"bag, of, fruit, be, broken",The bag of fruit has been broken.,The bag of fruit was broken.
96,"leep, night",I sleep at night.,I sleep at night.
97,"ll, children, be, scared",All the children were scared.,All the children were scared.
98,"women, wear, mantillas",The women are dressed in mantillas.,Women wear mantillas.
